route_distance,traffic_level,num_stops,hour_of_day,delivery_time_minutes
12587.92,1.0,1,12,33.97
5465.5,1.0,3,6,25.25
3505.98,1.3,2,17,21.92
9499.58,1.0,1,4,24.75
8234.11,1.8,1,10,49.15
10370.96,1.0,1,5,24.63
13021.44,1.3,1,5,42.23
6897.74,1.3,3,18,42.38
12499.02,1.3,2,12,55.16
1362.34,1.0,2,0,11.85
7901.27,1.3,3,15,46.32
942.97,1.8,2,20,10.95
14383.0,1.0,3,7,53.39
533.6,1.0,1,4,5.71
10048.84,1.3,3,1,37.13
10985.67,1.0,2,5,33.1
10617.47,1.0,1,5,28.13
7759.05,1.3,2,1,23.18
4574.57,1.8,3,22,28.85
7408.34,1.0,2,20,30.64
3223.72,1.3,3,9,24.02
1540.75,1.3,1,13,11.11
2571.7,1.3,1,22,13.16
12444.78,1.3,1,16,39.17
4504.46,1.3,1,17,21.73
14136.5,1.0,3,0,38.94
13654.4,1.8,2,5,71.7
1794.7,1.3,2,0,13.74
4186.36,1.8,1,23,23.1
10686.84,1.0,1,18,42.36
6084.24,1.8,2,15,30.23
5862.29,1.0,2,17,23.79
13111.57,1.3,2,3,52.25
4781.87,1.0,2,17,25.9
7288.24,1.3,1,10,29.74
2116.93,1.3,1,20,12.69
955.62,1.3,1,11,6.83
7229.38,1.8,2,5,33.25
2407.01,1.8,2,9,21.92
2243.0,1.0,1,20,11.35
8774.42,1.3,2,12,36.73
842.13,1.8,2,23,9.55
3809.41,1.0,2,14,14.46
8942.03,1.8,1,23,35.03
3339.58,1.0,2,9,15.18
14733.97,1.3,3,10,66.67
7314.83,1.8,2,17,57.44
7711.03,1.0,1,0,21.65
10354.49,1.0,1,21,26.67
3114.47,1.0,2,5,12.41
14429.09,1.0,3,15,53.89
8076.83,1.0,2,17,31.76
3256.56,1.3,3,1,21.3
14317.0,1.8,1,9,97.53
10165.71,1.0,2,21,31.75
12613.41,1.3,1,9,49.63
7962.91,1.8,1,2,33.72
13570.05,1.0,3,1,38.61
6190.64,1.3,3,16,34.39
9519.57,1.8,1,20,56.23
13814.47,1.0,2,10,47.55
14366.64,1.0,2,8,68.38
7992.13,1.3,1,6,28.97
13442.09,1.0,2,9,49.82
4787.57,1.3,1,13,15.98
14141.38,1.3,2,23,48.7
5612.74,1.8,2,16,35.3
6665.81,1.0,1,8,21.63
14609.63,1.0,1,19,44.94
11075.5,1.8,1,3,41.89
5216.78,1.3,3,13,22.84
14993.39,1.0,1,21,40.82
8395.21,1.3,1,8,40.07
7487.08,1.0,3,14,33.24
7878.91,1.0,3,23,21.02
1924.41,1.8,1,6,12.94
10144.62,1.0,1,16,29.83
14232.81,1.0,1,14,38.71
12064.44,1.3,3,22,44.84
12348.36,1.3,3,18,53.48
14441.94,1.3,3,15,59.75
2780.46,1.0,1,23,10.24
14061.81,1.8,3,18,86.99
1251.62,1.3,1,10,7.66
13230.78,1.3,1,0,42.23
10438.94,1.0,1,14,35.44
2184.77,1.3,2,23,17.19
14148.45,1.8,1,9,91.52
11199.33,1.3,2,16,39.18
3477.33,1.0,1,23,11.38
1595.96,1.8,1,21,11.82
1835.38,1.3,2,21,17.68
9345.11,1.0,1,1,29.5
2035.63,1.0,3,21,20.5
5916.54,1.0,2,12,25.33
7028.69,1.8,1,12,41.21
7721.59,1.3,1,19,35.32
6793.3,1.0,2,8,31.89
10224.8,1.3,1,6,33.99
11211.49,1.0,1,13,30.84
11124.64,1.3,2,17,47.68
13331.98,1.0,2,12,36.01
14821.06,1.0,2,16,49.71
8305.81,1.0,1,21,23.62
13168.98,1.3,3,7,76.46
14076.07,1.0,3,21,52.91
6410.68,1.0,1,14,17.74
666.64,1.0,3,20,9.91
13284.51,1.8,2,2,49.14
13906.14,1.0,2,20,49.82
3632.87,1.8,2,13,23.7
14146.25,1.8,1,8,93.56
12020.04,1.8,1,15,47.64
9352.93,1.0,2,12,23.53
11239.08,1.8,2,11,54.83
1711.54,1.0,1,9,10.81
2217.02,1.0,1,6,9.36
3895.95,1.0,3,7,28.72
10345.19,1.0,2,17,41.29
8843.44,1.0,3,15,30.2
10535.07,1.0,1,16,31.87
14295.91,1.3,2,10,77.33
10485.16,1.0,1,8,43.96
12410.13,1.8,2,18,89.06
6366.25,1.0,1,13,20.99
13575.72,1.0,1,21,39.67
8410.99,1.8,2,12,50.55
14959.14,1.3,1,18,79.01
5929.97,1.0,1,10,25.39
12554.83,1.8,1,1,61.15
11400.33,1.8,2,16,57.67
10841.92,1.0,2,5,35.89
9984.92,1.8,2,21,62.17
6517.08,1.3,1,7,27.75
13663.66,1.3,1,16,40.84
6935.96,1.0,3,16,27.67
9727.43,1.0,1,20,33.45
9131.9,1.0,2,14,35.3
2683.82,1.0,2,21,12.74
4029.25,1.3,1,17,21.2
11175.32,1.0,2,17,37.07
8862.18,1.0,1,19,38.37
582.92,1.0,2,15,8.73
825.18,1.0,2,10,5.84
2423.35,1.3,1,2,12.48
9010.58,1.3,3,18,42.96
9154.35,1.8,3,22,45.54
7304.64,1.0,2,21,27.16
7094.08,1.3,2,17,37.82
9658.83,1.0,2,8,38.8
6500.5,1.0,1,17,28.24
2961.06,1.0,2,22,13.52
13698.09,1.3,3,12,52.47
4516.68,1.8,2,7,30.27
3846.52,1.8,2,22,25.22
3562.86,1.8,3,15,25.59
10522.57,1.3,2,14,39.63
5361.55,1.0,3,16,28.53
11946.44,1.0,1,19,36.43
1584.91,1.0,2,4,10.24
12075.25,1.0,1,23,25.81
5652.14,1.3,1,4,21.47
2761.72,1.0,2,13,14.38
3026.53,1.8,2,9,21.9
11012.59,1.3,2,7,39.37
1151.94,1.0,2,8,9.67
10012.8,1.3,2,6,49.07
2286.87,1.3,2,7,16.19
8900.06,1.0,2,3,27.02
11253.24,1.0,1,23,24.11
12472.81,1.0,3,7,47.57
11891.83,1.0,3,11,42.02
10255.09,1.0,1,19,35.88
509.47,1.8,2,19,9.4
3392.83,1.0,1,12,11.64
13905.58,1.3,2,4,47.89
6734.79,1.3,3,17,35.16
2975.27,1.0,1,22,9.6
11716.51,1.0,2,0,44.3
14947.78,1.3,2,15,49.53
9320.63,1.0,1,0,23.37
1305.11,1.3,2,0,9.92
6116.18,1.0,1,18,24.88
3899.17,1.0,1,18,15.95
9974.06,1.0,1,5,33.03
11216.47,1.0,1,12,35.68
14856.58,1.0,1,7,62.89
1790.35,1.8,2,11,11.95
14537.11,1.0,2,23,40.53
11392.07,1.3,2,2,38.89
4117.14,1.3,3,17,32.6
5051.23,1.3,1,1,18.23
2238.42,1.3,2,5,14.62
2487.8,1.3,2,23,11.43
11128.5,1.3,3,2,46.55
13526.6,1.0,1,16,35.48
1597.09,1.0,1,5,5.86
9125.29,1.3,1,10,39.64
4797.19,1.8,3,8,31.54
3981.03,1.0,1,11,13.58
2499.34,1.3,3,14,22.36
5586.88,1.0,3,16,23.75
13736.94,1.3,1,7,73.36
6076.86,1.0,1,2,15.48
9224.39,1.8,1,5,36.59
14581.69,1.3,2,12,61.23
1138.59,1.3,2,19,12.08
12587.84,1.8,2,16,86.09
8209.08,1.3,1,14,28.67
2773.78,1.8,1,12,15.03
5106.57,1.8,1,6,29.44
14047.41,1.8,2,15,91.41
6712.64,1.3,3,12,34.05
14176.03,1.0,1,22,34.7
4478.58,1.8,1,23,15.64
592.5,1.8,3,3,10.54
6888.32,1.0,1,22,19.88
873.66,1.3,2,0,8.76
7704.99,1.8,2,1,37.71
11480.6,1.8,1,22,42.56
1613.71,1.0,3,21,16.96
3856.39,1.8,3,9,34.84
12940.35,1.3,3,11,51.07
10616.89,1.0,2,21,30.67
13611.53,1.0,2,7,52.25
2868.38,1.0,1,3,11.12
5393.09,1.8,1,15,26.75
13124.19,1.3,2,14,52.96
12178.77,1.3,1,19,47.37
6411.88,1.0,1,21,16.93
9801.81,1.0,3,19,40.2
2111.49,1.3,3,14,20.12
2766.6,1.3,1,3,11.02
14892.44,1.0,3,18,54.42
9749.58,1.8,2,19,75.5
10147.8,1.3,2,6,46.65
11802.99,1.0,3,16,54.09
4763.98,1.0,2,1,17.68
1852.44,1.8,1,2,11.06
9245.68,1.3,2,19,50.34
3883.33,1.3,2,9,20.09
3578.84,1.0,2,8,17.45
2332.6,1.0,2,1,16.45
11773.1,1.3,2,21,48.26
8676.83,1.3,1,13,35.31
12102.99,1.8,1,5,58.36
13553.83,1.3,2,3,47.57
4177.72,1.3,1,4,15.68
11067.28,1.0,2,13,32.14
12294.8,1.8,2,11,71.65
11807.4,1.0,1,2,25.4
687.01,1.3,3,19,14.13
6009.7,1.3,1,7,24.32
1901.35,1.0,3,23,10.75
7408.69,1.0,2,19,29.88
2431.54,1.3,1,11,13.41
7749.41,1.3,2,12,37.23
4959.18,1.0,2,10,24.99
8349.93,1.0,1,6,25.14
1467.06,1.0,1,10,6.13
4962.68,1.3,3,7,32.63
13457.71,1.0,3,3,30.37
13714.42,1.0,1,12,45.22
5304.61,1.3,1,16,23.36
11955.22,1.0,2,21,28.36
2907.76,1.0,2,2,11.6
13307.47,1.0,1,14,37.78
6255.75,1.0,2,6,25.57
9226.2,1.3,2,19,36.74
10296.51,1.0,2,21,34.96
8866.23,1.0,3,17,41.67
9095.18,1.0,1,15,33.33
8093.12,1.0,2,8,27.69
7414.16,1.3,3,17,33.45
14822.37,1.0,1,11,45.36
7986.11,1.3,3,9,43.55
2416.61,1.0,2,20,12.88
3244.61,1.0,2,0,13.41
4334.84,1.3,1,1,16.55
11873.88,1.3,2,15,46.36
7435.86,1.0,3,4,28.33
8089.32,1.0,2,14,28.39
4040.34,1.3,1,5,13.9
6050.37,1.8,1,3,25.5
14921.44,1.0,1,20,58.87
1138.95,1.0,2,4,8.03
7047.7,1.8,3,13,52.22
5693.03,1.8,2,10,39.57
10249.65,1.0,1,23,24.05
6523.92,1.0,1,13,20.86
14465.81,1.0,2,4,35.25
12063.95,1.3,2,17,72.05
9888.14,1.8,1,13,48.51
7603.12,1.3,2,21,36.58
6590.16,1.3,3,19,35.43
10534.73,1.0,2,15,34.03
9675.64,1.3,3,7,52.79
13254.22,1.8,3,0,63.84
9040.79,1.8,1,14,50.01
8525.34,1.3,1,18,36.15
10640.42,1.0,2,20,43.57
7578.58,1.0,1,20,26.25
6524.95,1.8,1,5,25.2
14151.38,1.0,2,23,32.99
4177.39,1.3,1,16,18.49
13414.55,1.3,3,18,60.03
2887.0,1.0,2,17,13.51
9025.88,1.0,2,15,32.09
8895.18,1.0,1,14,30.87
4977.63,1.0,1,14,20.33
10113.89,1.3,3,9,44.7
2427.46,1.3,1,8,11.05
5670.28,1.8,1,6,25.43
3540.51,1.8,2,22,18.82
1289.76,1.0,3,6,13.86
5820.94,1.0,1,19,18.58
3380.16,1.3,3,3,20.87
11595.31,1.0,2,3,30.34
2080.7,1.0,1,19,9.52
13929.98,1.8,2,3,62.25
5308.44,1.3,2,18,26.98
3068.34,1.0,2,15,15.36
14213.37,1.0,3,8,65.59
1688.5,1.3,2,2,9.1
12811.92,1.0,1,10,55.25
6326.0,1.3,1,16,27.8
2028.32,1.8,2,16,16.08
9374.12,1.0,1,14,26.22
4107.48,1.8,1,23,22.88
14934.38,1.8,1,1,61.0
6889.64,1.8,2,5,24.04
7373.09,1.0,3,19,37.0
9906.83,1.0,2,22,28.52
5152.39,1.3,3,4,23.56
7441.22,1.8,1,10,41.45
11263.24,1.0,1,13,38.28
4961.69,1.0,1,0,12.56
1016.06,1.8,1,22,7.44
7056.94,1.3,2,9,41.65
10238.02,1.0,2,3,32.76
14885.97,1.8,1,20,81.52
5225.28,1.8,1,5,22.87
1488.71,1.0,2,22,7.82
6860.39,1.8,3,18,40.68
5145.82,1.0,2,21,19.1
5231.09,1.0,2,0,21.53
2947.75,1.8,1,15,16.5
7785.75,1.0,3,6,25.19
6203.15,1.3,1,18,24.29
6984.41,1.8,2,8,41.59
5971.77,1.0,1,12,22.15
5608.74,1.0,1,4,17.25
5467.57,1.3,1,1,17.75
11312.91,1.8,2,10,75.01
5661.39,1.0,2,3,16.16
6676.96,1.8,2,18,42.97
12447.97,1.0,2,17,52.55
8000.76,1.0,1,21,24.7
5725.71,1.0,1,23,15.26
1801.51,1.8,1,23,11.29
8426.82,1.8,2,12,46.86
4871.21,1.3,1,13,22.46
1219.29,1.0,2,4,11.91
7567.07,1.3,1,16,31.3
8749.85,1.3,3,2,35.46
5767.2,1.3,3,6,27.93
1406.35,1.0,2,6,9.9
3203.09,1.3,2,13,14.66
14525.43,1.3,3,13,60.72
14450.48,1.3,2,1,45.62
820.24,1.0,1,16,6.64
2720.6,1.3,2,11,15.02
14082.51,1.3,2,3,39.59
12328.31,1.3,1,6,48.76
1721.83,1.0,2,14,10.44
10745.76,1.3,2,5,34.41
12940.06,1.3,2,13,41.9
3296.62,1.0,2,9,18.7
8684.04,1.3,1,9,35.65
8948.95,1.0,1,9,34.22
9235.8,1.0,2,10,41.73
12290.64,1.0,2,9,39.76
8593.48,1.0,3,23,25.9
11008.1,1.8,3,21,65.53
11239.62,1.0,1,7,35.84
4579.58,1.0,2,17,17.11
3326.89,1.3,2,9,21.57
1028.69,1.0,3,6,12.16
1078.88,1.0,2,21,9.0
9449.68,1.8,1,22,52.02
4635.48,1.3,2,18,25.62
2961.51,1.0,2,7,13.16
7971.93,1.0,2,1,21.49
5966.3,1.3,1,4,20.66
11319.6,1.8,1,12,61.08
9540.83,1.0,1,9,29.78
9569.43,1.0,1,3,22.02
1084.84,1.0,2,12,10.09
5109.62,1.0,1,15,16.3
6343.95,1.3,2,2,21.67
14103.63,1.0,1,23,42.5
14964.01,1.0,1,14,36.88
14752.73,1.3,2,22,44.97
6800.7,1.8,1,2,32.97
7593.8,1.0,1,9,23.54
4694.04,1.0,2,16,19.5
2700.27,1.3,2,21,13.64
8986.8,1.0,3,7,38.67
6600.68,1.3,3,15,34.23
6931.67,1.8,1,3,29.28
941.03,1.3,3,22,9.64
12429.19,1.0,2,16,37.79
2371.53,1.0,2,12,10.25
1591.87,1.0,3,22,21.64
14763.82,1.0,1,16,38.23
1070.75,1.0,2,19,10.87
8265.37,1.0,1,5,25.93
7567.39,1.8,1,13,40.13
4596.98,1.0,2,0,16.18
6187.87,1.0,2,12,21.36
4896.69,1.8,3,18,34.99
12015.64,1.3,3,23,38.2
705.85,1.0,2,3,10.47
13074.07,1.8,1,6,77.08
3795.29,1.3,2,17,21.04
2433.24,1.8,3,22,21.27
7520.51,1.3,2,18,37.79
3218.81,1.3,1,6,14.57
13019.76,1.0,2,11,45.8
10069.91,1.0,1,8,32.72
13485.56,1.8,2,11,57.11
4368.19,1.0,1,22,9.8
7619.79,1.0,1,5,18.56
11800.79,1.3,2,16,50.88
1784.39,1.3,1,5,11.21
6233.56,1.3,3,4,29.75
8399.62,1.0,1,16,22.06
10974.97,1.0,2,20,40.48
7835.92,1.3,3,13,30.7
3151.54,1.0,2,1,12.04
11610.56,1.0,3,2,36.69
13691.28,1.8,1,20,65.02
6752.55,1.3,1,23,20.24
13390.51,1.3,2,1,33.03
13979.92,1.0,2,1,33.9
2432.62,1.8,3,22,18.0
2152.51,1.3,3,4,19.88
12198.22,1.0,3,21,40.08
2434.54,1.3,2,0,9.49
7583.87,1.3,2,15,31.87
9577.79,1.0,1,6,27.06
6083.34,1.8,2,14,38.22
12944.0,1.0,2,2,37.78
9986.2,1.8,1,0,49.74
9886.46,1.0,2,6,39.75
9031.3,1.0,1,11,28.69
11871.93,1.8,1,3,50.44
14602.24,1.0,2,13,43.95
1327.87,1.0,2,15,8.67
13110.59,1.8,2,22,62.17
8805.03,1.0,3,7,43.44
3291.15,1.0,3,20,21.96
5464.73,1.3,1,9,28.13
3229.37,1.0,1,22,8.64
3441.37,1.8,2,23,23.15
4275.85,1.8,2,4,29.31
